id,jobid,row,C0_NAME,C1_W,C2_L,C3_PCT,C4_GB,C5_CONF,C6_DIV,C7_HOME,C8_ROAD,C9_L10,C10_STREAK
1330,b8f1a895a0f64d78b5500dc2c8b9e518,0,"New York",54,28,0.659,0.0,37-15,10-6,31-10,23-18,8-2,"W 1"
1331,b8f1a895a0f64d78b5500dc2c8b9e518,1,Brooklyn,49,33,0.598,5.0,36-16,11-5,26-15,23-18,7-3,"W 2"
1332,b8f1a895a0f64d78b5500dc2c8b9e518,2,Boston,41,40,0.506,12.5,27-24,7-9,27-13,14-27,4-6,"L 1"
1333,b8f1a895a0f64d78b5500dc2c8b9e518,3,Philadelphia,34,48,0.415,20.0,22-30,7-9,23-18,11-30,5-5,"W 1"
1334,b8f1a895a0f64d78b5500dc2c8b9e518,4,Toronto,34,48,0.415,20.0,22-30,5-11,21-20,13-28,7-3,"W 5"
1335,b8f1a895a0f64d78b5500dc2c8b9e518,5,Indiana,49,32,0.605,0.0,31-20,13-3,30-11,19-21,5-5,"L 3"
1336,b8f1a895a0f64d78b5500dc2c8b9e518,6,Chicago,45,37,0.549,4.5,34-18,9-7,24-17,21-20,5-5,"W 2"
1337,b8f1a895a0f64d78b5500dc2c8b9e518,7,Milwaukee,38,44,0.463,11.5,24-28,7-9,21-20,17-24,3-7,"W 1"
1338,b8f1a895a0f64d78b5500dc2c8b9e518,8,Detroit,29,53,0.354,20.5,25-27,8-8,18-23,11-30,5-5,"L 1"
1339,b8f1a895a0f64d78b5500dc2c8b9e518,9,Cleveland,24,58,0.293,25.5,18-34,3-13,14-27,10-31,2-8,"L 6"
1340,b8f1a895a0f64d78b5500dc2c8b9e518,10,Miami,66,16,0.805,0.0,41-11,15-1,37-4,29-12,9-1,"W 8"
1341,b8f1a895a0f64d78b5500dc2c8b9e518,11,Atlanta,44,38,0.537,22.0,29-23,11-5,25-16,19-22,4-6,"L 2"
1342,b8f1a895a0f64d78b5500dc2c8b9e518,12,Washington,29,53,0.354,37.0,15-37,5-11,22-19,7-34,3-7,"L 6"
1343,b8f1a895a0f64d78b5500dc2c8b9e518,13,Charlotte,21,61,0.256,45.0,18-34,6-10,15-26,6-35,4-6,"W 3"
1344,b8f1a895a0f64d78b5500dc2c8b9e518,14,Orlando,20,62,0.244,46.0,10-42,3-13,12-29,8-33,2-8,"L 3"
1345,b8f1a895a0f64d78b5500dc2c8b9e518,15,"Oklahoma City",60,22,0.732,0.0,39-13,10-6,34-7,26-15,7-3,"L 1"
1346,b8f1a895a0f64d78b5500dc2c8b9e518,16,Denver,57,25,0.695,3.0,38-14,11-5,38-3,19-22,8-2,"W 3"
1347,b8f1a895a0f64d78b5500dc2c8b9e518,17,Utah,43,39,0.524,17.0,26-26,9-7,30-11,13-28,7-3,"L 1"
1348,b8f1a895a0f64d78b5500dc2c8b9e518,18,Portland,33,49,0.402,27.0,18-34,6-10,22-19,11-30,0-10,"L 13"
1349,b8f1a895a0f64d78b5500dc2c8b9e518,19,Minnesota,31,51,0.378,29.0,17-35,4-12,20-21,11-30,5-5,"W 1"
1350,b8f1a895a0f64d78b5500dc2c8b9e518,20,"L.A. Clippers",56,26,0.683,0.0,35-17,11-5,32-9,24-17,7-3,"W 7"
1351,b8f1a895a0f64d78b5500dc2c8b9e518,21,"Golden State",47,35,0.573,9.0,28-24,9-7,28-13,19-22,6-4,"W 2"
1352,b8f1a895a0f64d78b5500dc2c8b9e518,22,"L.A. Lakers",45,37,0.549,11.0,28-24,8-8,29-12,16-25,8-2,"W 5"
1353,b8f1a895a0f64d78b5500dc2c8b9e518,23,Sacramento,28,54,0.341,28.0,14-38,7-9,20-21,8-33,2-8,"L 4"
1354,b8f1a895a0f64d78b5500dc2c8b9e518,24,Phoenix,25,57,0.305,31.0,17-35,5-11,17-24,8-33,2-8,"L 1"
1355,b8f1a895a0f64d78b5500dc2c8b9e518,25,"San Antonio",58,24,0.707,0.0,33-19,12-4,35-6,23-18,3-7,"L 3"
1356,b8f1a895a0f64d78b5500dc2c8b9e518,26,Memphis,56,26,0.683,2.0,34-18,10-6,32-9,24-17,8-2,"W 2"
1357,b8f1a895a0f64d78b5500dc2c8b9e518,27,Houston,45,37,0.549,13.0,24-28,6-10,29-12,16-25,6-4,"L 2"
1358,b8f1a895a0f64d78b5500dc2c8b9e518,28,Dallas,41,41,0.500,17.0,24-28,7-9,24-17,17-24,6-4,"W 1"
1359,b8f1a895a0f64d78b5500dc2c8b9e518,29,"New Orleans",27,55,0.329,31.0,15-37,5-11,16-25,11-30,2-8,"L 5"
